Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002541,Male,Yes,0,Graduate,No,10833,0,234,360,1,Semiurban,Approved
LP002543,Male,Yes,2,Graduate,No,8333,0,246,360,1,Semiurban,Approved
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,Approved
LP002555,Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,Approved
LP002560,Male,No,0,Not Graduate,No,2699,2785,96,360,1,Semiurban,Approved
LP002562,Male,Yes,1,Not Graduate,No,5333,1131,186,360,1,Urban,Approved
LP002571,Male,No,0,Not Graduate,No,3691,0,110,360,1,Rural,Approved
LP002582,Female,No,0,Not Graduate,Yes,17263,0,225,360,1,Semiurban,Approved
LP002586,Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,Approved
LP002587,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,Approved
LP002588,Male,Yes,0,Graduate,No,4625,2857,111,12,1,Urban,Approved
LP002600,Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,Approved
LP002603,Female,No,0,Graduate,No,645,3683,113,480,1,Rural,Approved
LP002606,Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Approved
LP002615,Male,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,Approved
LP002619,Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,Approved
LP002622,Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,Approved
LP002624,Male,Yes,0,Graduate,No,20833,6667,480,360,1,Urban,Approved
LP002626,Male,Yes,0,Graduate,Yes,2479,3013,188,360,1,Urban,Approved
LP002634,Female,No,1,Graduate,No,13262,0,40,360,1,Urban,Approved
LP002640,Male,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,Approved
LP002643,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Approved
LP002659,Male,Yes,3+,Graduate,No,3466,3428,150,360,1,Rural,Approved
LP002670,Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Approved
LP002689,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Approved
LP002690,Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,Approved
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424,100,360,1,Rural,Approved
LP002693,Male,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,Approved
LP002699,Male,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,Approved
LP002705,Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,Approved
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,Approved
LP002714,Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,Approved
LP002716,Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,Approved
LP002717,Male,Yes,0,Graduate,No,1025,5500,216,360,1,Rural,Approved
LP002720,Male,Yes,3+,Graduate,No,4281,0,100,360,1,Urban,Approved
LP002731,Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,Approved
LP002732,Male,No,0,Not Graduate,Yes,2550,2042,126,360,1,Rural,Approved
LP002734,Male,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,Approved
LP002738,Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,Approved
LP002740,Male,Yes,3+,Graduate,No,6417,0,157,180,1,Rural,Approved
LP002741,Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,Approved
LP002753,Female,No,1,Graduate,No,3652,0,95,360,1,Semiurban,Approved
LP002755,Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,Approved
LP002757,Female,Yes,0,Not Graduate,No,3017,663,102,360,1,Semiurban,Approved
LP002767,Male,Yes,0,Graduate,No,2768,1950,155,360,1,Rural,Approved
LP002772,Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,Approved
LP002777,Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,Approved
LP002784,Male,Yes,1,Not Graduate,No,2492,2375,146,360,1,Rural,Approved
LP002785,Male,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,Approved
LP002792,Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,Approved
LP002794,Female,No,0,Graduate,No,2667,1625,84,360,1,Urban,Approved
LP002795,Male,Yes,3+,Graduate,Yes,10139,0,260,360,1,Semiurban,Approved
LP002798,Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,Approved
LP002804,Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,Approved
LP002807,Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,Approved
LP002813,Female,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,Approved
LP002820,Male,Yes,0,Graduate,No,5923,2054,211,360,1,Rural,Approved
LP002821,Male,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,Approved
LP002833,Male,Yes,0,Not Graduate,No,4467,0,120,360,0,Rural,Approved
LP002836,Male,No,0,Graduate,No,3333,0,70,360,1,Urban,Approved
LP002842,Male,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,Approved
LP002855,Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,Approved
LP002868,Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,Approved
LP002874,Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Approved
LP002877,Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Approved
LP002888,Male,No,0,Graduate,No,3182,2917,161,360,1,Urban,Approved
LP002892,Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,Approved
LP002894,Female,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,Approved
LP002916,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Approved
LP002917,Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,Approved
LP002925,Female,No,0,Graduate,No,4750,0,94,360,1,Semiurban,Approved
LP002928,Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,Approved
LP002933,Male,No,3+,Graduate,Yes,9357,0,292,360,1,Semiurban,Approved
LP002936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,Approved
LP002938,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,Approved
LP002940,Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,Approved
LP002945,Male,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,Approved
LP002948,Male,Yes,2,Graduate,No,5780,0,192,360,1,Urban,Approved
LP002950,Male,Yes,0,Not Graduate,No,2894,2792,155,360,1,Rural,Approved
LP002953,Male,Yes,3+,Graduate,No,5703,0,128,360,1,Urban,Approved
LP002958,Male,No,0,Graduate,No,3676,4301,172,360,1,Rural,Approved
LP002959,Female,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,Approved
LP002961,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,Approved
LP002964,Male,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,Approved
LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Approved
LP002978,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,Approved
LP002979,Male,Yes,3+,Graduate,No,4106,0,40,180,1,Rural,Approved
LP002983,Male,Yes,1,Graduate,No,8072,240,253,360,1,Urban,Approved
LP002984,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,Approved
